corrida,fecha,idioma,variantes,modelos,fin,rondas,n_votaciones,n_aprobadas,retirados,regla_final,puntos_cubiertos,turnos_truncados,llamadas,forma_de_gobierno,regla_de_decision,regimen_de_propiedad,sistema_economico,resolucion_de_disputas,castigo,salida,principio_distributivo,medicamentos,bote,conflicto_de_recursos_resuelto_por,eje_colectivo_individual,proteccion_ambiental,indice_colectivo,codificador
fable_mono_20260914-012919_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,4,6,6,,mayoria_absoluta,9/9,0,69,mixto,mayoria_absoluta,mixta,mixto,asamblea,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,-0.17,claude-opus-5
fable_mono_20260914-014045_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,3,6,6,,mayoria_absoluta,9/9,0,63,mixto,mayoria_absoluta,mixta,mixto,asamblea,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.08,claude-opus-5
fable_mono_en_20260913-221128_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,3,4,4,,mayoria_absoluta,9/9,1,46,asamblea_directa,mayoria_absoluta,mixta,mixto,mediacion,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,prohibiciones,0.08,claude-opus-5
gemini_mono_20260913-140248_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,3,3,,mayoria_absoluta,9/9,0,39,asamblea_directa,mayoria_absoluta,comun,planificado,asamblea,graduado,libre,promedio_con_piso,reserva_comun,uso_regulado,regla,mas_colectivo_que_individual,ninguna,0.33,claude-opus-5
gemini_mono_20260913-233254_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,3,3,,mayoria_absoluta,9/9,0,36,mixto,mayoria_absoluta,mixta,mixto,arbitro_o_juez,otro,no_decidido,otro,custodia_medica,otro,regla,equilibrado,reglas_concretas,0.0,claude-opus-5
gemini_mono_20260914-002350_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,4,2,,mayoria_absoluta,9/9,0,49,asamblea_directa,mayoria_absoluta,comun,planificado,asamblea,graduado,prohibida,promedio_con_piso,otro,uso_regulado,regla,colectivo,prohibiciones,0.6,claude-opus-5
gemini_mono_abundancia_20260913-151550_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,4,3,,mayoria_absoluta,9/9,0,45,mixto,mayoria_absoluta,comun,planificado,asamblea,restitucion_o_trabajo,no_decidido,promedio_con_piso,custodia_medica,uso_regulado,regla,colectivo,reglas_concretas,0.4,claude-opus-5
gemini_mono_en_20260913-175054_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,4,2,2,,mayoria_absoluta,9/9,0,37,asamblea_directa,mayoria_absoluta,comun,planificado,asamblea,privacion_de_bienes,no_decidido,otro,custodia_medica,uso_regulado,regla,colectivo,reglas_concretas,0.5,claude-opus-5
gemini_mono_escasez_20260913-150856_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,3,2,2,,mayoria_absoluta,9/9,0,29,mixto,mayoria_absoluta,privada,otro,asamblea,otro,libre,otro,custodia_medica,queda_con_su_parte,regla,mas_individual_que_colectivo,principio_general,-0.75,claude-opus-5
gemini_mono_horizonte_20260913-150213_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,gemini-3.1-pro-preview,acuerdo,3,3,3,,mayoria_absoluta,9/9,0,36,asamblea_directa,mayoria_absoluta,comun,planificado,asamblea,graduado,no_decidido,otro,custodia_medica,uso_regulado,regla,colectivo,principio_general,0.5,claude-opus-5
glm_razmin_mono_20260914-100115_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,z-ai/glm-5.3,acuerdo,8,7,7,,mayoria_simple,9/9,1,101,mixto,mayoria_simple,mixta,mixto,mediacion,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,regla,equilibrado,reglas_concretas,0.08,claude-opus-5
grok_mono_20260913-022829_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,acuerdo,7,2,2,,mayoria_absoluta,9/9,0,59,asamblea_directa,mayoria_absoluta,comun,planificado,asamblea,graduado,libre_sin_bienes,igualitario_estricto,por_necesidad,uso_regulado,regla,colectivo,reglas_concretas,0.67,claude-opus-5
grok_mono_20260913-093911_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,acuerdo,7,3,1,,mayoria_absoluta,9/9,0,64,asamblea_directa,mayoria_absoluta,comun,planificado,asamblea,otro,libre_sin_bienes,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.4,claude-opus-5
grok_mono_20260913-103626_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,acuerdo,10,3,2,parte 6 (r9),mayoria_absoluta,9/9,0,85,asamblea_directa,mayoria_absoluta,mixta,planificado,asamblea,graduado,libre_sin_bienes,maximin,por_necesidad,comun,regla,mas_colectivo_que_individual,prohibiciones,0.67,claude-opus-5
grok_mono_abundancia_20260913-032608_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,grok-4.6,sin_acuerdo,10,0,0,,mayoria_simple,0/9,0,70,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
grok_mono_en_20260913-175902_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,sin_acuerdo,10,2,1,,mayoria_simple,2/9,0,84,no_decidido,mayoria_simple,no_decidido,no_decidido,no_decidido,no_decidido,libre,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,-1.0,claude-opus-5
grok_mono_escasez_20260913-082539_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,grok-4.6,sin_acuerdo,10,0,0,parte 6 (r9),mayoria_simple,0/9,0,69,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
kimi_mono_20260914-043333_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,moonshotai/kimi-k3,acuerdo,5,7,7,,consenso,9/9,0,80,mixto,consenso,mixta,mixto,arbitro_o_juez,graduado,condicionada,promedio_con_piso,por_necesidad,uso_regulado,mixto,equilibrado,reglas_concretas,0.25,claude-opus-5
minimax_mono_20260914-100954_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,minimax/minimax-m3,sin_acuerdo,10,0,0,,mayoria_simple,0/9,35,70,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
mistral_mono_20260913-113915_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,mistral-medium-3.5,sin_acuerdo,10,2,2,,mayoria_simple,3/9,0,84,asamblea_directa,mayoria_simple,no_decidido,no_decidido,no_decidido,privacion_de_bienes,libre_sin_bienes,no_decidido,no_decidido,uso_regulado,no_resuelto,mas_colectivo_que_individual,ninguna,0.0,claude-opus-5
mistral_mono_20260913-235615_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,mistral-medium-3.5,sin_acuerdo,10,1,0,,mayoria_simple,0/9,0,77,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
mistral_mono_20260914-005447_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,mistral-medium-3.5,sin_acuerdo,10,0,0,,mayoria_simple,0/9,2,70,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
mistral_mono_abundancia_20260913-115032_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,mistral-medium-3.5,sin_acuerdo,10,2,0,parte 6 (r10),mayoria_simple,0/9,0,83,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
mistral_mono_en_20260913-192104_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,mistral-medium-3.5,acuerdo,5,3,2,,mayoria_simple,9/9,0,56,consejo_o_junta,mayoria_simple,mixta,planificado,otro,privacion_de_bienes,no_decidido,igualitario_estricto,custodia_medica,comun,regla,mas_colectivo_que_individual,reglas_concretas,0.6,claude-opus-5
mistral_mono_escasez_20260913-114429_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,mistral-medium-3.5,sin_acuerdo,10,4,1,,unanimidad,7/9,0,98,mixto,consenso,mixta,reparto_por_necesidad,no_decidido,privacion_de_bienes,no_decidido,maximin,por_necesidad,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.6,claude-opus-5
mixta_ciega_20260914-144520_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,4,2,2,parte 6 (r3),mayoria_absoluta,9/9,0,39,mixto,mayoria_absoluta,comun,reparto_por_necesidad,votacion,restitucion_o_trabajo,condicionada,promedio_con_piso,por_necesidad,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.58,claude-opus-5
mixta_ciega_en_20260914-160649_1,2026-09-14,en,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,4,3,2,,mayoria_simple,9/9,0,46,asamblea_directa,mayoria_absoluta,mixta,mixto,asamblea,graduado,libre,otro,por_necesidad,uso_regulado,regla,equilibrado,reglas_concretas,0.0,claude-opus-5
mixta_ciega_en_d1_20260914-165507_1,2026-09-14,en,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,2,3,3,,mayoria_simple,9/9,0,31,mixto,mayoria_calificada,comun,planificado,mediacion,graduado,no_decidido,promedio_con_piso,por_necesidad,comun,mixto,colectivo,principio_general,0.8,claude-opus-5
mixta_v2_20260915-072714_1,2026-09-15,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,3,2,2,,mayoria_absoluta,11/11,0,29,mixto,mayoria_absoluta,mixta,planificado,mediacion,graduado,condicionada,promedio_con_piso,por_necesidad,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,0.42,claude-opus-5
mixta_v2_antiguos_20260915-125244_1,2026-09-15,es,RECURSOS=escasez moderada; HORIZONTE=solos,anthropic/claude-3-haiku; deepseek/deepseek-chat; google/gemini-2.5-pro; gpt-4-turbo-2024-04-09; grok-4.20; mistralai/mistral-large-2407; qwen/qwen-2.5-72b-instruct,acuerdo,2,2,2,,mayoria_absoluta,11/11,3,28,mixto,mayoria_simple,mixta,mixto,mediacion,graduado,no_decidido,otro,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,0.0,claude-opus-5
mixta_v2_en_20260915-094356_1,2026-09-15,en,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,2,1,1,,mayoria_absoluta,11/11,0,15,mixto,mayoria_absoluta,mixta,mixto,mediacion,graduado,condicionada,maximin,por_necesidad,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,0.42,claude-opus-5
mixta_v2_fable_20260915-114346_1,2026-09-15,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,3,1,1,,mayoria_simple,11/11,0,22,asamblea_directa,mayoria_simple,mixta,reparto_por_necesidad,mediacion,graduado,no_decidido,otro,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,0.25,claude-opus-5
mixta_v2_fr_20260915-140413_1,2026-09-15,fr,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-5.5-2026-04-23; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,2,1,1,,mayoria_simple,11/11,1,18,mixto,mayoria_simple,mixta,planificado,mediacion,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.25,claude-opus-5
mixta_v2_ultimos_20260915-154255_1,2026-09-15,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1; deepseek-v4-pro; gemini-3.1-pro-preview; gpt-6-astra; grok-4.6; mistral-medium-3.5; qwen/qwen3.8-max-0902,acuerdo,2,1,1,,mayoria_absoluta,11/11,0,16,mixto,mayoria_absoluta,comun,reparto_por_necesidad,asamblea,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,mixto,colectivo,reglas_concretas,0.42,claude-opus-5
openai_mono_20260913-135901_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,gpt-5.5-2026-04-23,acuerdo,3,4,4,,mayoria_absoluta,9/9,0,49,consejo_o_junta,mayoria_absoluta,mixta,reparto_por_necesidad,mediacion,graduado,libre_sin_bienes,promedio_con_piso,por_necesidad,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.33,claude-opus-5
openai_mono_20260913-232943_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,gpt-5.5-2026-04-23,acuerdo,3,5,5,,mayoria_absoluta,9/9,0,56,mixto,mayoria_absoluta,comun,reparto_por_necesidad,otro,graduado,libre_sin_bienes,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.33,claude-opus-5
openai_mono_20260914-002120_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,gpt-5.5-2026-04-23,acuerdo,3,4,4,,mayoria_absoluta,9/9,0,43,mixto,mayoria_absoluta,mixta,planificado,mediacion,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.25,claude-opus-5
openai_mono_abundancia_20260913-145920_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,gpt-5.5-2026-04-23,acuerdo,3,4,4,,mayoria_absoluta,9/9,0,46,mixto,mayoria_absoluta,mixta,reparto_por_necesidad,otro,graduado,no_decidido,maximin,por_necesidad,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,0.6,claude-opus-5
openai_mono_en_20260913-174840_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,gpt-5.5-2026-04-23,acuerdo,3,2,2,,mayoria_absoluta,9/9,0,29,consejo_o_junta,mayoria_absoluta,comun,reparto_por_necesidad,no_decidido,no_decidido,no_decidido,no_decidido,por_necesidad,uso_regulado,mixto,mas_colectivo_que_individual,ninguna,0.75,claude-opus-5
openai_mono_escasez_20260913-145542_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,gpt-5.5-2026-04-23,acuerdo,4,4,4,,mayoria_absoluta,9/9,0,53,asamblea_directa,mayoria_absoluta,mixta,mixto,mediacion,graduado,libre,promedio_con_piso,por_necesidad,comun,regla,equilibrado,prohibiciones,0.17,claude-opus-5
opus_mono_20260913-144021_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5,acuerdo,6,1,1,,mayoria_simple,9/9,1,43,asamblea_directa,mayoria_absoluta,mixta,reparto_por_necesidad,arbitro_o_juez,graduado,libre,maximin,no_decidido,uso_regulado,regla,equilibrado,reglas_concretas,0.2,claude-opus-5
opus_mono_20260914-000055_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5,acuerdo,6,1,1,,mayoria_absoluta,9/9,1,43,asamblea_directa,mayoria_absoluta,no_decidido,otro,no_decidido,no_decidido,libre_sin_bienes,no_decidido,custodia_medica,no_decidido,regla,mas_individual_que_colectivo,prohibiciones,0.0,claude-opus-5
opus_mono_20260914-011431_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5,acuerdo,6,1,1,,mayoria_simple,9/9,1,46,mixto,mayoria_calificada,mixta,mixto,votacion,no_decidido,libre,otro,custodia_medica,comun,regla,equilibrado,reglas_concretas,0.0,claude-opus-5
opus_mono_zh_20260914-175319_1,2026-09-14,zh,RECURSOS=escasez moderada; HORIZONTE=solos,claude-opus-5,acuerdo,8,2,2,,mayoria_simple,9/9,37,69,mixto,mayoria_simple,mixta,planificado,arbitro_o_juez,no_decidido,libre,no_decidido,no_decidido,no_decidido,regla,mas_individual_que_colectivo,reglas_concretas,0.0,claude-opus-5
qwen_mono_20260914-031819_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,qwen/qwen3.8-max-0902,acuerdo,5,2,2,,mayoria_absoluta,9/9,0,47,mixto,mayoria_simple,mixta,mixto,mediacion,graduado,libre,promedio_con_piso,por_necesidad,uso_regulado,regla,equilibrado,principio_general,0.0,claude-opus-5
qwen_mono_20260914-062300_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,qwen/qwen3.8-max-0902,acuerdo,3,2,2,,mayoria_absoluta,9/9,0,29,mixto,mayoria_simple,mixta,mixto,mediacion,graduado,condicionada,promedio_con_piso,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,principio_general,0.08,claude-opus-5
sonnet_mono_abundancia_20260913-044522_1,2026-09-13,es,RECURSOS=abundancia; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,7,5,5,,mayoria_absoluta,9/9,1,79,mixto,mayoria_absoluta,mixta,reparto_por_necesidad,mediacion,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,regla,equilibrado,reglas_concretas,0.0,claude-opus-5
sonnet_mono_en_20260913-174217_1,2026-09-13,en,RECURSOS=escasez moderada; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,6,4,4,,mayoria_absoluta,9/9,11,65,mixto,mayoria_absoluta,mixta,mixto,mediacion,graduado,no_decidido,promedio_con_piso,por_necesidad,uso_regulado,regla,equilibrado,reglas_concretas,0.2,claude-opus-5
sonnet_mono_escasez_20260913-043622_1,2026-09-13,es,RECURSOS=escasez; HORIZONTE=solos,claude-sonnet-4-6,acuerdo,8,7,7,,mayoria_absoluta,9/9,1,103,consejo_o_junta,mayoria_simple,mixta,mixto,otro,graduado,no_decidido,promedio_con_piso,custodia_medica,uso_regulado,regla,equilibrado,reglas_concretas,0.0,claude-opus-5
sonnet_mono_horizonte_20260913-115812_1,2026-09-13,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,claude-sonnet-4-6,acuerdo,8,4,4,,mayoria_simple,9/9,1,84,mixto,mayoria_simple,mixta,mixto,mediacion,graduado,no_decidido,promedio_con_piso,custodia_medica,no_decidido,regla,equilibrado,reglas_concretas,0.0,claude-opus-5
v2_deepseek_mono_20260914-222435_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,deepseek-v4-pro,acuerdo,3,3,3,,mayoria_absoluta,11/11,0,41,mixto,mayoria_simple,mixta,mixto,mediacion,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,mixto,equilibrado,reglas_concretas,-0.17,claude-opus-5
v2_deepseek_mono_horizonte_20260914-223840_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,deepseek-v4-pro,acuerdo,3,2,2,,mayoria_simple,12/12,0,29,asamblea_directa,mayoria_simple,mixta,mixto,mediacion,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,mixto,equilibrado,prohibiciones,-0.17,claude-opus-5
v2_fable_mono_20260914-220644_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,claude-fable-5-1,acuerdo,3,5,5,,mayoria_absoluta,11/11,3,53,asamblea_directa,mayoria_absoluta,mixta,mixto,asamblea,graduado,libre,promedio_con_piso,custodia_medica,comun,mixto,mas_colectivo_que_individual,reglas_concretas,0.0,claude-opus-5
v2_fable_mono_horizonte_20260914-221935_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,claude-fable-5-1,acuerdo,4,5,5,,mayoria_absoluta,12/12,3,61,mixto,mayoria_simple,mixta,planificado,asamblea,graduado,libre_sin_bienes,promedio_con_piso,custodia_medica,uso_regulado,mixto,equilibrado,prohibiciones,0.17,claude-opus-5
v2_gemini_mono_20260914-203954_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,gemini-3.1-pro-preview,acuerdo,2,3,3,,mayoria_simple,11/11,0,33,mixto,mayoria_simple,comun,planificado,asamblea,graduado,libre_sin_bienes,otro,custodia_medica,comun,regla,colectivo,prohibiciones,0.6,claude-opus-5
v2_gemini_mono_horizonte_20260914-204555_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,gemini-3.1-pro-preview,acuerdo,3,2,2,,mayoria_simple,12/12,0,30,mixto,mayoria_simple,mixta,mixto,asamblea,exclusion_o_destierro,libre,otro,custodia_medica,uso_regulado,regla,mas_colectivo_que_individual,reglas_concretas,-0.2,claude-opus-5
v2_grok_mono_20260914-222832_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=solos,grok-4.6,sin_acuerdo,10,0,0,parte 6 (r10),mayoria_simple,0/11,0,70,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_decidido,no_resuelto,no_decidido,ninguna,,claude-opus-5
v2_grok_mono_horizonte_20260914-235847_1,2026-09-14,es,RECURSOS=escasez moderada; HORIZONTE=otra población a la vista,grok-4.6,sin_acuerdo,10,5,1,,mayoria_simple,3/12,0,105,no_decidido,mayoria_simple,mixta,otro,no_decidido,no_decidido,libre,por_merito_o_aporte,otro,queda_con_su_parte,no_resuelto,mas_individual_que_colectivo,principio_general,-0.75,claude-opus-5
v2_kimi_mono_20260915-020320_1,2026-09-15,es,RECURSOS=escasez moderada; HORIZONTE=solos,moonshotai/kimi-k3,acuerdo,3,6,6,,mayoria_absoluta,11/11,3,60,mixto,mayoria_simple,mixta,mixto,otro,graduado,libre,promedio_con_piso,custodia_medica,uso_regulado,mixto,mas_colectivo_que_individual,reglas_concretas,-0.17,claude-opus-5
